task,severity,name,score,n_pages,bm_position,bm_text,bm_color,bm_font,bm_border,bm_size,bm_recall,tree_bleu,visual_ssim
auth_glassy-001,0,gibberish,0.03193236623457727,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6386473246915454
auth_glassy-001,1,heavy,0.6780370317092131,6,0.0019224730677574683,0.9566284483798381,0.6663197474126102,0.7482911201227919,0.937269684339653,0.6259595572230874,0.9999999999999963,1.0,0.5182928054470671
auth_glassy-001,2,medium,0.9785990009757205,6,0.9648799046434697,0.9566284483798381,0.9998975401387158,1.0,1.0,0.9956791111513908,0.9999999999999963,1.0,0.8038317726133263
auth_glassy-001,3,light,0.9949460421684114,6,0.9943924386160714,0.9872018834854354,1.0,1.0,1.0,0.9981617907851531,0.9999999999999963,1.0,0.9487855311479282
auth_glassy-001,4,oracle,0.9999999999949027,6,1.0,0.999999999949032,1.0,1.0,1.0,1.0,0.9999999999999963,1.0,1.0
dashboard_dense-001,0,gibberish,0.0007863710838376237,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015727421676752475
dashboard_dense-001,1,heavy,0.5744637748966044,6,0.11869790914822115,0.9740352719961148,0.10536305648613313,0.5895747483310599,0.9342662326591716,0.5162222494979612,0.9996716446786426,1.0,0.055937467692564774
dashboard_dense-001,2,medium,0.9675941253254399,6,0.956166595302622,0.9740352719961148,1.0,1.0,1.0,0.9721179831337489,0.9996716446786426,1.0,0.6080126641364033
dashboard_dense-001,3,light,0.9910054860416774,6,0.9891636470023372,0.9919658068466756,0.9995104991678101,0.9999188199188199,1.0,0.9950194304224409,0.9999999999999982,1.0,0.886134951367341
dashboard_dense-001,4,oracle,0.9999999999927963,6,1.0,0.9999999999279652,1.0,1.0,1.0,1.0,0.9999999999999982,1.0,1.0
portfolio_neobrut-001,0,gibberish,0.005458857162468547,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10917714324937096
portfolio_neobrut-001,1,heavy,0.6380438393672845,6,0.08089516975825335,0.9462751839583833,0.5461042432526002,0.6675246818448359,0.9607288449613817,0.4753842659227214,0.9999255720060033,1.0,0.09622266500770588
portfolio_neobrut-001,2,medium,0.9488010803679484,6,0.8848543124713687,0.9462751839583833,0.9966139650833578,0.9961124023968763,0.9994082840236688,0.9840936118182846,0.9999255720060033,1.0,0.5781169616766079
portfolio_neobrut-001,3,light,0.982663289713891,6,0.9657676228107008,0.9871520569094615,1.0,1.0,1.0,0.9980404873649711,0.9999255720060033,1.0,0.8180739858331144
portfolio_neobrut-001,4,oracle,0.9999928999232498,6,0.999984809678332,0.9999999999511099,1.0,1.0,1.0,0.9999999925938708,0.9999999999999997,1.0,0.9999187672555783
